City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.78,88,0,7.77,PN,1728096718
1,cambria,35.5641,-121.0808,15.59,95,58,0.45,US,1728096720
2,roma,43.2128,-75.4557,16.08,91,100,2.06,US,1728096686
3,yellowknife,62.456,-114.3525,-0.71,93,20,1.54,CA,1728096723
4,dunedin,-45.8742,170.5036,13.22,99,99,0.89,NZ,1728096583
5,iqaluit,63.7506,-68.5145,2.85,86,100,0.0,CA,1728096725
6,ancud,-41.8697,-73.8203,5.6,91,25,3.1,CL,1728096727
7,miyako,39.6367,141.9525,21.61,63,53,3.1,JP,1728096728
8,utrik,11.2278,169.8474,28.37,76,93,4.79,MH,1728096730
9,morehead city,34.7229,-76.726,22.22,84,100,1.34,US,1728096142
10,majene,-3.5403,118.9707,30.27,60,87,3.34,ID,1728096733
11,tazovsky,67.4667,78.7,-0.61,78,58,6.68,RU,1728096734
12,port-aux-francais,-49.35,70.2167,1.63,80,100,3.16,TF,1728096735
13,puerto natales,-51.7236,-72.4875,2.11,86,20,2.68,CL,1728096737
14,papatowai,-46.5619,169.4708,10.89,96,100,2.99,NZ,1728096738
15,bethel,41.3712,-73.414,16.48,92,0,0.45,US,1728096740
16,beaufort,5.3473,115.7455,28.36,80,96,2.04,MY,1728096743
17,mel'nikovo,56.5558,84.085,8.61,52,100,5.21,RU,1728096744
18,carnarvon,-24.8667,113.6333,24.22,50,94,5.84,AU,1728096746
19,mount isa,-20.7333,139.5,36.87,26,20,5.66,AU,1728096747
20,singarayakonda,15.25,80.0333,30.91,64,83,1.36,IN,1728096749
21,seymour,38.9592,-85.8903,19.49,59,0,2.18,US,1728096750
22,margaret river,-33.95,115.0667,16.35,68,95,3.86,AU,1728096492
23,saldanha,-33.0117,17.9442,17.03,49,65,2.89,ZA,1728096753
24,tralee,52.2704,-9.7026,15.62,92,100,4.27,IE,1728096263
25,prado,-17.3411,-39.2208,23.21,89,0,3.57,BR,1728096756
26,mount gambier,-37.8333,140.7667,14.53,63,100,5.69,AU,1728096757
27,mhamid,29.82,-5.72,27.98,32,0,3.8,MA,1728096759
28,markovo,57.3206,107.0881,4.0,78,100,4.48,RU,1728096760
29,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,15,0,8.0,RU,1728096762
30,dudinka,69.4058,86.1778,-2.61,88,56,3.83,RU,1728096763
31,west island,-12.1568,96.8225,27.99,78,75,5.66,CC,1728096764
32,buala,-8.145,159.5921,29.43,69,94,3.27,SB,1728096766
33,hasaki,35.7333,140.8333,22.64,87,98,8.67,JP,1728096767
34,jumla,29.2747,82.1838,15.07,69,1,0.51,NP,1728096769
35,polyarnyy,69.1989,33.4478,5.08,83,100,12.21,RU,1728096770
36,puerto ayora,-0.7393,-90.3518,21.42,93,71,2.68,EC,1728096773
37,hachinohe,40.5,141.5,21.6,58,0,2.38,JP,1728096775
38,sur,22.5667,59.5289,30.8,48,9,4.11,OM,1728096776
39,tiksi,71.6872,128.8694,-7.04,92,93,1.53,RU,1728096777
40,licheng,23.2955,113.8284,24.21,61,100,1.77,CN,1728096779
41,chhatarpur,24.9,79.6,26.55,71,1,4.47,IN,1728096780
42,okha,53.5739,142.9478,10.42,65,100,6.25,RU,1728096782
43,kristiansund,63.1115,7.732,7.85,93,75,2.06,NO,1728096783
44,heilbron,-27.2812,27.9709,8.18,42,0,3.33,ZA,1728096785
45,hamilton,39.1834,-84.5333,18.1,80,0,0.89,US,1728096786
46,hami,42.8,93.45,16.68,30,10,5.14,CN,1728096237
47,new norfolk,-42.7826,147.0587,17.73,46,75,4.25,AU,1728096706
48,whitehorse,60.7161,-135.0538,6.43,59,75,6.71,CA,1728096793
49,albany,42.6001,-73.9662,15.25,73,63,0.45,US,1728096794
50,corumba,-19.0092,-57.6533,28.08,48,5,1.26,BR,1728096795
51,alice springs,-23.7,133.8833,30.75,20,0,3.6,AU,1728096797
